BatchDescription,BatchID,Database,Workers,IsMultiServer,IsDistributedDB,IsMultiNode,IsMultiDC,IsMultiContinent,MultiNodeCount,TotalNetworkDistance,Runtime,Records,Performance,ControlPerformance,PerformanceFactor,RuntimeControl,RuntimeFactor
"Monolithic, Single Server",1,PostgreSQL,20,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,58.074786,293481,5053.501168,4736,1.067,59,0.00
"Monolithic, Single Server",1,PostgreSQL,20,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,60.156163,293481,4878.652244,4736,1.03,59,0.02
"Monolithic, Single Server",1,PostgreSQL,20,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,62.482884,293481,4696.982266,4736,0.992,59,0.06
"Monolithic, Single Server",1,PostgreSQL,20,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,64.663733,293481,4538.571904,4736,0.958,59,0.09
"Monolithic, Single Server",1,PostgreSQL,20,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,65.012732,293481,4514.20808,4736,0.953,59,0.10
"Monolithic, Single Server",1,PostgreSQL,40,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,49.167401,293481,5969.015969,5809,1.028,42,0.16
"Monolithic, Single Server",1,PostgreSQL,40,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,49.723966,293481,5902.204179,5809,1.016,42,0.17
"Monolithic, Single Server",1,PostgreSQL,40,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,50.105336,293481,5857.280319,5809,1.008,42,0.18
"Monolithic, Single Server",1,PostgreSQL,40,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,51.787621,293481,5667.010676,5809,0.976,42,0.21
"Monolithic, Single Server",1,PostgreSQL,40,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,51.926969,293481,5651.802997,5809,0.973,42,0.21
"Monolithic, Single Server",1,PostgreSQL,60,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,47.764868,293481,6144.285766,5860,1.049,40,0.18
"Monolithic, Single Server",1,PostgreSQL,60,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,48.571185,293481,6042.286137,5860,1.031,40,0.19
"Monolithic, Single Server",1,PostgreSQL,60,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,49.060661,293481,5982.002566,5860,1.021,40,0.20
"Monolithic, Single Server",1,PostgreSQL,60,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,50.619661,293481,5797.766943,5860,0.989,40,0.24
"Monolithic, Single Server",1,PostgreSQL,60,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,55.007688,293481,5335.272455,5860,0.91,40,0.32
"Monolithic, Separate DB Server",2,PostgreSQL,20,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,53.949249,293481,5439.945976,4736,1.149,59,0.00
"Monolithic, Separate DB Server",2,PostgreSQL,20,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,56.27107,293481,5215.486429,4736,1.101,59,0.00
"Monolithic, Separate DB Server",2,PostgreSQL,20,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,61.274344,293481,4789.622866,4736,1.011,59,0.04
"Monolithic, Separate DB Server",2,PostgreSQL,20,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,61.395288,293481,4780.187664,4736,1.009,59,0.04
"Monolithic, Separate DB Server",2,PostgreSQL,20,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,61.499521,293481,4772.085946,4736,1.008,59,0.04
"Monolithic, Separate DB Server",2,PostgreSQL,40,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,40.37322,293481,7269.199719,5809,1.251,42,0.00
"Monolithic, Separate DB Server",2,PostgreSQL,40,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,40.968664,293481,7163.548221,5809,1.233,42,0.00
"Monolithic, Separate DB Server",2,PostgreSQL,40,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,41.502277,293481,7071.443343,5809,1.217,42,0.00
"Monolithic, Separate DB Server",2,PostgreSQL,40,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,41.503861,293481,7071.173415,5809,1.217,42,0.00
"Monolithic, Separate DB Server",2,PostgreSQL,40,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,43.802528,293481,6700.092691,5809,1.153,42,0.04
"Monolithic, Separate DB Server",2,PostgreSQL,60,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,37.958209,293481,7731.687184,5860,1.319,40,0.00
"Monolithic, Separate DB Server",2,PostgreSQL,60,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,38.297928,293481,7663.103898,5860,1.308,40,0.00
"Monolithic, Separate DB Server",2,PostgreSQL,60,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,39.972292,293481,7342.11095,5860,1.253,40,0.00
"Monolithic, Separate DB Server",2,PostgreSQL,60,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,40.084762,293481,7321.510367,5860,1.249,40,0.00
"Monolithic, Separate DB Server",2,PostgreSQL,60,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,42.189913,293481,6956.188849,5860,1.187,40,0.05
"Distributed, Single Node Cluster",3,CockroachDB,20,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,223.721548,293481,1311.813736,4736,0.277,59,1.33
"Distributed, Single Node Cluster",3,CockroachDB,20,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,223.905093,293481,1310.738386,4736,0.277,59,1.33
"Distributed, Single Node Cluster",3,CockroachDB,20,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,228.166395,293481,1286.258655,4736,0.272,59,1.35
"Distributed, Single Node Cluster",3,CockroachDB,20,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,231.5195,293481,1267.629723,4736,0.268,59,1.37
"Distributed, Single Node Cluster",3,CockroachDB,20,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,254.694743,293481,1152.285266,4736,0.243,59,1.46
"Distributed, Single Node Cluster",3,CockroachDB,40,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,216.731494,293481,1354.122535,5809,0.233,42,1.64
"Distributed, Single Node Cluster",3,CockroachDB,40,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,216.945033,293481,1352.789672,5809,0.233,42,1.64
